公告📣,#genre#   
请勿相信视频中广告,https://video.699pic.com/videos/dt/03/a1/yk.mp4

央视频道🏮,#genre#
CCTV1-综合,http://go.bkpcp.top/mg/cctv1
CCTV1-综合,http://8.138.7.223/gq8tl/get_redirect_url.php?id=258
CCTV1-综合,http://8.138.7.223/tv/2026.php?id=1
CCTV1-综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8
CCTV1-综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1-综合,http://play.kankanlive.com/live/1698234869325962.flv
CCTV1-综合,rtmp://play.kankanlive.com/live/1698234869325962

CCTV2-财经,http://8.138.7.223/gq8tl/get_redirect_url.php?id=259
CCTV2-财经,http://8.138.7.223/tv/2026.php?id=2
CCTV2-财经,http://go.bkpcp.top/mg/cctv2
CCTV2-财经,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$-1920x1080
CCTV2-财经,https://play.kankanlive.com/live/1698234898628961.m3u8

CCTV2-财经,http://play.kankanlive.com/live/1698234898628961.flv
CCTV2-财经,rtmp://play.kankanlive.com/live/1698234898628961
CCTV2-财经,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV3-综艺,http://8.138.7.223/gq8tl/get_redirect_url.php?id=260
CCTV3-综艺,http://8.138.7.223/tv/2026.php?id=3

CCTV3-综艺,http://go.bkpcp.top/mg/cctv3
CCTV3-综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$-1920x1080
CCTV3-综艺,http://112.46.85.60:8009/hls/3/index.m3u8

CCTV4-国际,http://8.138.7.223/gq8tl/get_redirect_url.php?id=261
CCTV4-国际,http://8.138.7.223/tv/2026.php?id=4

CCTV4-国际,http://go.bkpcp.top/mg/cctv4
CCTV4-国际,https://play.kankanlive.com/live/1698234936258960.m3u8
CCTV4-国际,http://play.kankanlive.com/live/1698234936258960.flv
CCTV4-国际,rtmp://play.kankanlive.com/live/1698234936258960
CCTV4-国际,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8
CCTV5-体育,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/aoyuncctv5_2pd
CCTV5-体育,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV5-体育,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5-体育,http://go.061899.xyz/mg/cctv5
